DEVELOPER_ID,DEVELOPER_NAME,HQ_COUNTRY,DEVELOPER_TIER,FOCUS_SEGMENT,HQ_CITY,HQ_STATE,STATUS,PARTNER_SINCE,UPDATED_AT
DV000001,Mahindra Lifespaces,India,Tier-1,Mid,Noida,UP,ACTIVE,9/26/2008,5/23/2026 15:16
DV000002,Raheja Developers,India,Tier-1,Premium,Pune,MH,INACTIVE,7/21/2012,11/25/2026 15:44
DV000003,Raheja Developers,India,Tier-2,Mid,Chennai,TN,ACTIVE,3/22/2009,4/12/2026 3:39
DV000004,Puravankara,India,Tier-2,Premium,Bengaluru,KA,INACTIVE,2/11/2014,6/22/2026 20:30
DV000005,Shapoorji Pallonji,India,Tier-1,Premium,Delhi,DL,ACTIVE,11/20/2018,4/14/2026 7:00
DV000006,Kolte Patil,India,Tier-2,Affordable,Hyderabad,TS,INACTIVE,7/2/2009,4/6/2026 2:57
DV000007,Brigade Group,India,Tier-2,Luxury,Delhi,DL,ACTIVE,8/11/2013,6/24/2026 20:41
DV000008,Godrej Properties,India,Tier-2,Premium,Noida,UP,ACTIVE,2/10/2006,5/29/2026 18:26
DV000009,Sobha,India,Tier-2,Mid,Hyderabad,TS,ACTIVE,1/30/2009,7/4/2026 19:17
DV000010,Mahindra Lifespaces,India,Tier-2,Mid,Gurugram,HR,ACTIVE,1/13/2016,2/7/2026 2:17
DV000011,Hiranandani,India,Tier-2,Premium,Chennai,TN,INACTIVE,9/25/2015,2/21/2026 13:25
DV000012,Mahindra Lifespaces,India,Tier-2,Luxury,Pune,MH,INACTIVE,4/27/2020,7/4/2026 19:55
DV000013,Oberoi Realty,India,Tier-2,Luxury,Chennai,TN,ACTIVE,11/12/2008,10/21/2026 1:10
DV000014,Raheja Developers,India,Tier-2,Luxury,Hyderabad,TS,INACTIVE,8/5/2005,9/20/2026 13:01
DV000015,TVS Emerald,India,Tier-1,Luxury,Kolkata,WB,ACTIVE,8/29/2017,5/28/2026 8:24
DV000016,Oberoi Realty,India,Tier-2,Mid,Bengaluru,KA,INACTIVE,12/15/2013,4/6/2026 20:59
DV000017,Godrej Properties,India,Tier-2,Mid,Kolkata,WB,ACTIVE,9/1/2017,3/23/2026 3:50
DV000018,Runwal Group,India,Tier-1,Luxury,Mumbai,MH,INACTIVE,7/23/2012,2/4/2026 15:34
