PROPERTY_ID,CITY_ID,DEVELOPER_ID,PROPERTY_TYPE,SEGMENT,BHK,AREA_SQFT,POSSESSION_YEAR,PROJECT_STATUS,AMENITY_TIER,RERA_ID,UPDATED_AT
PR000001,CI011,DV033885,APARTMENT,AFFORDABLE,2,2692,2029,LAUNCHED,STANDARD,RERA-237068,2/2/2026 10:49
PR000002,CI020,DV031510,OFFICE,PREMIUM,0,8171,2026,LAUNCHED,STANDARD,RERA-535141,12/20/2025 7:18
PR000003,CI068,DV068062,VILLA,PREMIUM,3,8503,2030,UNDER_CONSTRUCTION,BASIC,RERA-530843,7/18/2025 11:36
PR000004,CI036,DV216627,VILLA,PREMIUM,2,7556,2025,READY,BASIC,RERA-337429,5/31/2025 14:27
PR000005,CI025,DV285803,OFFICE,COMMERCIAL,1,645,2029,UNDER_CONSTRUCTION,LUXURY,RERA-472416,5/7/2025 5:30
PR000006,CI071,DV172421,OFFICE,MID,1,8030,2030,UNDER_CONSTRUCTION,BASIC,RERA-148133,6/10/2025 6:21
PR000007,CI077,DV174993,PLOT,AFFORDABLE,4,1231,2027,READY,BASIC,RERA-312345,2/22/2025 6:59
PR000008,CI015,DV175445,PLOT,AFFORDABLE,3,5798,2025,UNDER_CONSTRUCTION,BASIC,RERA-346022,1/2/2026 0:31
PR000009,CI063,DV078139,VILLA,AFFORDABLE,2,8962,2026,UNDER_CONSTRUCTION,PREMIUM,RERA-400356,4/16/2025 2:41
PR000010,CI020,DV140313,RETAIL,PREMIUM,5,4766,2028,LAUNCHED,PREMIUM,RERA-815143,3/6/2025 14:42
PR000011,CI098,DV244343,APARTMENT,MID,1,3970,2025,LAUNCHED,LUXURY,RERA-608186,7/24/2025 8:27
PR000012,CI005,DV231948,RETAIL,MID,4,3336,2030,READY,LUXURY,RERA-868083,10/29/2025 15:29
PR000013,CI039,DV273254,OFFICE,LUXURY,5,6062,2026,LAUNCHED,STANDARD,RERA-173494,10/26/2025 17:31
PR000014,CI069,DV204042,VILLA,AFFORDABLE,2,6376,2028,READY,BASIC,RERA-959217,1/30/2026 18:35
