TXN_ID,TXN_LINE_ID,TXN_DATE,PROPERTY_ID,CITY_ID,DEVELOPER_ID,BUYER_SEGMENT,LIST_PRICE_LAKHS,DISCOUNT_PCT,SALE_PRICE_LAKHS,LOAN_REQUIRED,SALES_CHANNEL,TXN_STATUS,PAYMENT_MODE,UPDATED_AT
TX238971,1,02-01-2025,PR276824,CI012,DV069919,INVESTOR,29800000,0,29800000,N,ONLINE,BOOKED,UPI,09/23/2025 04:33
TX72874,1,05-08-2025,PR136317,CI064,DV146172,INVESTOR,47400000,7,44100000,N,BROKER,REGISTERED,RTGS,04/17/2025
TX131606,1,03/24/2021,PR255819,CI024,DV090628,INVESTOR,48900000,7,45500000,Y,ONLINE,BOOKED,RTGS,02-07-2025
TX140162,1,11/24/2020,PR172349,CI038,DV204465,NRI,18400000,3,17800000,Y,ONLINE,CANCELLED,CHEQUE,10/27/2025
TX82709,1,02/19/2024,PR096698,CI014,DV280852,NRI,58200000,7,54100000,N,BROKER,CANCELLED,NEFT,04/28/2025 18:15
TX83668,1,01-01-2023,PR100849,CI065,DV052471,NRI,56100000,3,54400000,Y,DIRECT,CANCELLED,CHEQUE,08-04-2025 18:50
TX169253,1,04-08-2020,PR161574,CI005,DV141207,INVESTOR,45000000,3,43600000,Y,BROKER,REGISTERED,CHEQUE,08/24/2025 16:11
TX305945,1,10-01-2024,PR286851,CI029,DV272916,INVESTOR,43200000,0,43200000,N,DIRECT,REGISTERED,RTGS,10-12-2025 10:20
TX81994,1,04/23/2024,PR125783,CI082,DV272445,NRI,16200000,150,15100000,Y,ONLINE,BOOKED,UPI,06-08-2025 21:16
TX182598,1,12/18/2025,PR076467,CI054,DV266880,NRI,14000000,7,13000000,N,BROKER,BOOKED,CHEQUE,01-09-2026 01:06
TX130262,1,04/15/2023,PR298018,CI019,DV101506,END_USER,26100000,0,26100000,N,BROKER,REGISTERED,CARD,10-06-2025 08:18
TX41351,1,05/26/2024,PR262771,CI046,DV053164,INVESTOR,34000000,2,33300000,Y,BROKER,BOOKED,UPI,03/16/2025 20:54
TX91068,1,03/23/2020,PR089104,CI026,DV020610,NRI,19800000,3,19200000,Y,BROKER,CANCELLED,CHEQUE,08/13/2025 15:20
TX285003,1,06-09-2023,PR074503,CI099,DV228886,END_USER,35900000,7,33400000,Y,ONLINE,REGISTERED,UPI,06-08-2025 09:00
TX166919,1,04/25/2021,PR132496,CI098,DV088430,END_USER,44000000,0,44000000,Y,ONLINE,REGISTERED,CHEQUE,01-03-2026 23:12
TX257752,1,02-03-2022,PR234445,CI050,DV243195,INVESTOR,55700000,7,51800000,N,DIRECT,REGISTERED,CHEQUE,10-10-2025 17:10
TX46607,1,02-12-2023,PR287136,CI053,DV226504,END_USER,35400000,0,35400000,N,DIRECT,REGISTERED,RTGS,06/27/2025 16:28
TX139079,1,10-09-2022,PR141229,CI089,DV224199,NRI,28600000,0,28600000,N,DIRECT,REGISTERED,CHEQUE,08/18/2025 18:14
TX222924,1,12/15/2020,PR026785,CI007,DV119015,INVESTOR,32400000,0,32400000,Y,DIRECT,BOOKED,CARD,09/25/2025 19:59
TX153974,1,02/13/2024,PR081092,CI055,DV294139,INVESTOR,5200000,2,5100000,N,DIRECT,BOOKED,NEFT,04/26/2025 03:16
TX230842,1,09-10-2020,PR078011,CI014,DV020380,INVESTOR,20200000,2,19800000,N,DIRECT,REGISTERED,UPI,06/13/2025 20:36
TX295175,1,10/28/2025,PR199109,CI038,DV063905,END_USER,15500000,0,15500000,Y,BROKER,CANCELLED,NEFT,12/29/2025 07:10
TX121202,1,10-07-2022,PR050691,CI057,DV168180,END_USER,40600000,0,40600000,Y,DIRECT,CANCELLED,NEFT,01/29/2026 22:38
TX168860,1,02-02-2025,PR192892,CI079,DV209912,INVESTOR,30800000,5,29300000,N,ONLINE,CANCELLED,RTGS,01-03-2026 22:48
TX290033,1,04/25/2025,PR237841,CI021,DV199061,NRI,57000000,5,54100000,Y,ONLINE,CANCELLED,CHEQUE,02/23/2025 06:15
TX225125,1,02/28/2022,PR038361,CI103,DV120702,INVESTOR,37100000,0,37100000,N,ONLINE,BOOKED,CHEQUE,05/29/2025 19:23
TX140306,1,02/13/2021,PR051611,CI050,DV172651,NRI,27000000,2,26400000,N,ONLINE,BOOKED,RTGS,05/19/2025 03:13
TX130430,1,08/21/2022,PR046887,CI095,DV262606,INVESTOR,28900000,0,28900000,Y,BROKER,REGISTERED,CHEQUE,02-02-2026 10:14
TX62027,1,03-12-2022,PR286321,CI096,DV163326,END_USER,38900000,2,38100000,Y,ONLINE,CANCELLED,CARD,06/20/2025 10:53
TX70833,1,04/22/2022,PR000397,CI016,DV163090,END_USER,8000000,0,8000000,N,ONLINE,REGISTERED,CARD,07/28/2025 10:08
TX180181,1,12/22/2022,PR188986,CI093,DV201283,END_USER,15700000,7,14600000,N,DIRECT,BOOKED,NEFT,03/23/2025 13:09
TX156111,1,02/20/2025,PR277040,CI014,DV133101,END_USER,59100000,5,56200000,N,DIRECT,CANCELLED,UPI,11/21/2025 08:05
TX132852,1,03/18/2025,PR270074,CI100,DV293151,END_USER,17100000,2,16800000,N,BROKER,REGISTERED,NEFT,06-10-2025 10:47
TX299854,1,04-06-2025,PR267420,CI031,DV047668,END_USER,23000000,5,21900000,N,BROKER,REGISTERED,UPI,02/15/2025 01:56
TX220247,1,07-09-2023,PR092615,CI044,DV228478,END_USER,54500000,0,54500000,Y,DIRECT,BOOKED,NEFT,08-06-2025 04:59
TX249096,1,12/18/2025,PR252414,CI008,DV210272,INVESTOR,32300000,2,31600000,Y,DIRECT,REGISTERED,RTGS,04-05-2025 23:33
TX55018,1,11-11-2021,PR052928,CI101,DV157962,INVESTOR,54700000,7,50900000,Y,DIRECT,REGISTERED,CARD,12-01-2025 06:51
TX302649,1,04/27/2020,PR223356,CI084,DV122452,END_USER,33500000,2,32900000,Y,ONLINE,CANCELLED,CHEQUE,03/23/2025 04:14
